2theta,Intensity
0.0,4266406.48374183
0.05,4461107.44977352
0.1,4669442.1573607
0.15,5055940.00344098
0.2,5303072.21935595
0.25,5568772.06020501
0.3,5854946.68800597
0.35,6163754.49054883
0.4,6497645.85140316
0.45,6859411.85006632
0.5,7252242.70460796
0.55,7679798.24858947
0.6,8146293.35855914
0.65,8656602.06782627
0.7,9216385.18550373
0.75,9832247.68349927
0.8,10511934.05456235
0.85,11264572.47619737
0.9,12100982.21888517
0.95,13034063.72219483
1.0,16434756.65843254
1.05,19165230.81240596
1.1,21357535.90419144
1.15,23521340.09135471
1.2,25512303.97308748
1.25,27782329.90387321
1.3,30388004.394026
1.35,33401299.94954316
1.4,36914929.24147876
1.45,41050013.42916193
1.5,45967282.47050425
1.55,51883795.16543786
1.6,59098516.03091073
1.65,68032530.95494492
1.7,80373684.88710327
1.75,94918842.14218935
1.8,114095289.83941796
1.85,140139754.50199068
1.9,176816398.7739329
1.95,230845738.31490073
2.0,315423250.55844724
2.05,466664818.4791075
2.1,865447192.26522
2.15,2314029216.3110905
2.2,6186519672.302264
2.25,10774728750.020952
2.3,12604200001.278679
2.35,8003035931.57281
2.4,5677876390.385231
2.45,4972017283.482626
2.5,4752972368.7930355
2.55,4768632163.270146
2.6,4913113321.800588
2.65,5120456890.558394
2.7,5368899758.582887
2.75,5653841195.837381
2.8,5986019411.695289
2.85,6351090334.1773615
2.9,6763461502.448583
2.95,7230595711.407694
3.0,7775623078.678624
3.05,8442749279.674215
3.1,9463398378.834421
3.15,11616845123.781517
3.2,15787161478.35405
3.25,20017812038.702763
3.3,20479887329.661835
3.35,18775407195.474598
3.4,17198259525.37489
3.45,16497412386.413076
3.5,17059410897.945564
3.55,18450839917.21863
3.6,20318157662.905117
3.65,22591159360.811275
3.7,25329733695.148712
3.75,28670164897.084335
3.8,32915741006.596886
3.85,38614306626.2894
3.9,45860397247.661385
3.95,53410518084.25682
4.0,62092433240.03834
4.05,74398913133.21227
4.1,91883995968.03308
4.15,116699161576.8374
4.2,153068031951.8415
4.25,209529106987.53897
4.3,304911687906.00146
4.35,523192980980.0159
4.4,1290560846168.7224
4.45,3687170341963.683
4.5,7624137353033.582
4.55,8170042182027.652
4.6,4335845476822.768
4.65,1562427779570.0552
4.7,597952465842.7013
4.75,331696493201.1014
4.8,224967128267.70404
4.85,164527981486.22787
4.9,127178794729.23967
4.95,106361909624.31488
5.0,100104055372.15294
5.05,97951855762.90903
5.1,86640665075.06964
5.15,74348678738.67073
5.2,64373478916.856514
5.25,53370061279.2448
5.3,42500563531.90611
5.35,35037358282.44595
5.4,30220785185.588573
5.45,26528424083.564125
5.5,23767608013.348297
5.55,21913621297.174156
5.6,20701099323.88145
5.65,19814758652.0679
5.7,19234367046.832924
5.75,18946134653.450943
5.8,18974132052.892456
5.85,19454787793.195595
5.9,20803974827.384193
5.95,23353883423.473015
6.0,25879036864.01632
6.05,27302277215.434845
6.1,29944034989.55223
6.15,34552394435.33903
6.2,41851807329.826256
6.25,53579198504.84132
6.3,75045302314.88702
6.35,137056218229.6571
6.4,325388011852.37524
6.45,693262738902.0767
6.5,988526888699.7264
6.55,1008930192853.3553
6.6,998519499680.4973
6.65,1027335988221.8806
6.7,1082803073819.5726
6.75,1008030608969.5398
6.8,609064788968.8932
6.85,257337337153.82236
6.9,107594326176.95624
6.95,60825661468.61395
7.0,42509320334.84342
7.05,32159469050.655945
7.1,25516303631.401104
7.15,20939896594.891087
7.2,17585838392.797474
7.25,15029848525.131687
7.3,13036836998.862585
7.35,11633948811.628021
7.4,10913585740.287512
7.45,11006081140.091208
7.5,11527373815.77936
7.55,11788675278.34088
7.6,12510528664.048208
7.65,15018315488.074842
7.7,22026132158.722034
7.75,45837970190.16404
7.8,100693100644.14368
7.85,142312343038.17603
7.9,98281332661.59294
7.95,42176149481.23104
8.0,17864518321.9927
8.05,12308321081.053425
8.1,12145280367.304802
8.15,11693942182.73268
8.2,9966313765.849968
8.25,9207853722.465776
8.3,9769949876.016487
8.35,10505257094.894928
8.4,10311764636.111288
8.45,9442499744.241453
8.5,9049062812.69066
8.55,8281026139.855245
8.6,8286710953.167147
8.65,9670707238.717533
8.7,10577270236.628702
8.75,9929046337.478413
8.8,10109982887.768555
8.85,12398346187.376163
8.9,20048123992.122932
8.95,45168602398.32121
9.0,103639484518.2255
9.05,169762516737.64465
9.1,181753802696.26816
9.15,156824615303.08093
9.2,132237755293.1365
9.25,139909436328.02127
9.3,165574314905.4195
9.35,178488912015.22595
9.4,144734947339.68826
9.45,79942952763.91173
9.5,36229255903.23133
9.55,19179274039.933964
9.6,13776371766.055283
9.65,11708284728.462988
9.7,10919917986.72738
9.75,11014205981.816736
9.8,11986062366.444483
9.85,14098095510.425457
9.9,17845191254.640152
9.95,27217387140.64721
10.0,57610630209.92377
10.05,129698731569.69818
10.1,212866116087.16415
10.15,229200191555.61377
10.2,215089258479.38257
10.25,217460222154.7091
10.3,226662870702.90802
10.35,235196424092.02353
10.4,274227657253.64078
10.45,298567676533.8003
10.5,246530701186.4936
10.55,167599909470.77338
10.6,122822870505.80518
10.65,106739993546.85213
10.7,98605635889.01414
10.75,93827353862.44498
10.8,96715864615.02383
10.85,80449358887.65527
10.9,45383920260.480286
10.95,21706939908.983536
11.0,12249749981.24279
11.05,9079362984.410137
11.1,7793605423.759674
11.15,7036172820.303041
11.2,6293977415.161469
11.25,6008653654.534721
11.3,6724743177.686502
11.35,8007100844.178176
11.4,7788425293.188278
11.45,6632543898.348055
11.5,6213788004.500909
11.55,6803041502.056591
11.6,7107310597.043313
11.65,6985663431.2369175
11.7,6468467497.5957155
11.75,6803057974.265078
11.8,8708030969.626587
11.85,11615839138.524084
11.9,18788361505.39264
11.95,37585491413.53647
12.0,55259336872.04177
12.05,43997950694.55869
12.1,31142377950.638844
12.15,38214061091.080765
12.2,50793341316.21971
12.25,53466144466.40854
12.3,49583038472.574814
12.35,47958954636.33206
12.4,41526971668.3025
12.45,35477835534.17648
12.5,43609937711.59542
12.55,50666660710.824295
12.6,53811494315.60178
12.65,64600226010.51487
12.7,79235125345.42485
12.75,86911144858.82945
12.8,79965249159.15305
12.85,73605739920.04704
12.9,78883592348.53543
12.95,102867768709.74477
13.0,125384894207.61864
13.05,130872967687.79068
13.1,116683721347.35014
13.15,99920786807.28772
13.2,73980575304.79774
13.25,50776548001.15368
13.3,46437454072.104744
13.35,42401450105.16824
13.4,39621649137.193375
13.45,52361493860.06707
13.5,60652190080.08577
13.55,49935413423.81864
13.6,27734464299.174145
13.65,13538030879.936958
13.7,8843054285.41082
13.75,8422265264.83571
13.8,8162290940.830363
13.85,6682826106.713611
13.9,5254712305.156169
13.95,4226621831.506815
14.0,3829039463.440628
14.05,4254322426.2722335
14.1,5325107266.717613
14.15,6769789921.0654745
14.2,7300125631.63669
14.25,6647337117.128139
14.3,5776255066.999775
14.35,4439673047.193533
14.4,3581887485.274349
14.45,3548470904.060005
14.5,3612790937.673526
14.55,3277747079.479061
14.6,3197922609.713171
14.65,3455659144.1394053
14.7,3910303526.918752
14.75,4763495780.922387
14.8,5851922878.715992
14.85,6356706836.615074
14.9,7909760256.804153
14.95,13907110728.654305
15.0,26928228021.214817
15.05,44643683527.03454
15.1,59882021384.83942
15.15,60051095416.865425
15.2,53720603760.34352
15.25,52887069234.856476
15.3,46174890750.31663
15.35,45505975905.30652
15.4,49196489405.25899
15.45,44667725366.325676
15.5,37722262379.75815
15.55,41873649592.76028
15.6,52779401697.580605
15.65,70173899397.16573
15.7,103303312279.70782
15.75,106852553182.92519
15.8,63492741154.49741
15.85,27415769292.052765
15.9,12648227333.051016
15.95,8053958877.371864
16.0,6459503174.98288
16.05,5586455551.864834
16.1,5333704818.471607
16.15,6745644910.026158
16.2,9585091886.323256
16.25,12153137260.70868
16.3,13898382601.096674
16.35,13586693988.052706
16.4,12771948987.81353
16.45,9978793097.738573
16.5,8791128267.844593
16.55,10956466507.04135
16.6,13619778141.790022
16.65,13341251813.807255
16.7,12158000656.93866
16.75,11230447499.782068
16.8,11028760838.980206
16.85,9142717429.608244
16.9,6335934141.015655
16.95,4712107596.13023
17.0,4675009105.333189
17.05,4970546854.600824
17.1,4775402169.504226
17.15,4892824151.690508
17.2,5474028037.426828
17.25,5676049534.938038
17.3,6118689235.615762
17.35,7441024276.812174
17.4,7576762426.195566
17.45,5989431690.582128
17.5,4442246549.2933035
17.55,3497764940.925729
17.6,2595957489.712843
17.65,2050727067.3328698
17.7,1768854863.3804615
17.75,1624639419.9603975
17.8,1579524561.1054075
17.85,1621483173.9572985
17.9,1657550457.464676
17.95,1810840910.8242083
18.0,2248609506.089094
18.05,3075528708.5925636
18.1,4257372406.3270016
18.15,5228371982.231176
18.2,5532690434.726728
18.25,5831893318.243988
18.3,7304037951.819426
18.35,12738342473.614895
18.4,22113563665.94327
18.45,29703000714.517986
18.5,27723247830.590622
18.55,24636145225.781178
18.6,31309998332.014156
18.65,40190692514.327934
18.7,34827992779.73586
18.75,25163452542.15131
18.8,20405464633.33665
18.85,18656967855.83458
18.9,16760684542.447386
18.95,16576426356.401966
19.0,25135690934.673424
19.05,37641370179.1248
19.1,34832898210.364105
19.15,25281247096.37008
19.2,25699162757.208366
19.25,29498111302.849857
19.3,25143354336.02563
19.35,16413825406.250965
19.4,10676303520.624628
19.45,7427177238.186485
19.5,5857986758.163915
19.55,5219520372.485146
19.6,5365927026.005453
19.65,6478489754.460891
19.7,8712146143.578087
19.75,10475071540.623117
19.8,12265974253.828424
19.85,13852564409.181263
19.9,12098919935.111174
19.95,9946599188.069405
20.0,9091065289.699781
20.05,9347997604.013247
20.1,9032826619.484447
20.15,8988630879.362984
20.2,9757526678.698803
20.25,10711212257.406614
20.3,10914647701.489742
20.35,11007821069.186733
20.4,11098493792.141933
20.45,9746585203.814856
20.5,8903019840.828642
20.55,11211797530.336979
20.6,14772900774.417398
20.65,15680229416.528254
20.7,15772151560.546734
20.75,14858796817.632269
20.8,15629615933.059746
20.85,17230733975.99851
20.9,20359351708.43729
20.95,32845908847.615658
21.0,47599501074.08103
21.05,49775733178.97648
21.1,51377007569.68186
21.15,51091433941.70576
21.2,42706661866.593254
21.25,42326846375.51393
21.3,46952261458.462944
21.35,40868980358.36904
21.4,27581405680.276146
21.45,23492018663.37233
21.5,27740702048.560287
21.55,34347070591.40721
21.6,38355764356.36684
21.65,35834913816.32437
21.7,37890368688.35218
21.75,43681958844.33715
21.8,42438895809.83137
21.85,34318192836.73652
21.9,34259308544.71625
21.95,32436325747.67587
22.0,23284129541.028736
22.05,16935131652.58753
22.1,15887763912.653193
22.15,19689847320.67627
22.2,20697303819.55968
22.25,18389287582.589706
22.3,21461445219.39099
22.35,37109704828.329544
22.4,59782511480.287415
22.45,68038750775.52753
22.5,52470810952.99825
22.55,34674302963.24745
22.6,30824714900.606686
22.65,27517926087.68054
22.7,22516220477.924313
22.75,26758630794.69482
22.8,37268698129.498436
22.85,41223791532.251236
22.9,38483965841.08719
22.95,27424518607.14313
23.0,22489094107.17382
23.05,26626624248.706192
23.1,29082965598.170956
23.15,30211843881.591568
23.2,39825430610.03648
23.25,47218139686.670296
23.3,38720285269.287704
23.35,23493596073.431587
23.4,14716690031.96379
23.45,12437883567.459454
23.5,11445849447.674181
23.55,10173620225.470512
23.6,9450678321.156982
23.65,10164372783.830206
23.7,10726935177.60329
23.75,9410975328.961048
23.8,7663132264.088825
23.85,6908682891.676746
23.9,6127665851.01653
23.95,5592669054.833951
24.0,6189365407.063926
24.05,8552586230.837435
24.1,13387634209.905582
24.15,17912180569.094578
24.2,18361495464.739635
24.25,17731730091.77905
24.3,16674243608.506893
24.35,17710315395.655083
24.4,24791347737.52534
24.45,46262918758.63269
24.5,80497972001.04958
24.55,97609819207.09677
24.6,88796278010.68689
24.65,86892769478.36472
24.7,85756178717.83531
24.75,83507074523.3941
24.8,83116088643.19308
24.85,96394263021.93646
24.9,96187302434.00006
24.95,69949609428.35562
25.0,45689662420.62819
25.05,32716845067.917572
25.1,32859709104.67097
25.15,49246743167.48392
25.2,71643914866.9898
25.25,75645064583.45717
25.3,68900969227.02571
25.35,60277934606.164696
25.4,59032813936.678604
25.45,65114915045.15427
25.5,53626269385.88469
25.55,44211630554.037476
25.6,51726251092.46188
25.65,60708580412.289185
25.7,58015735603.667946
25.75,56978657118.15094
25.8,58507033380.48902
25.85,57532103372.55955
25.9,51616075047.546265
25.95,38103709956.93216
26.0,30004925574.05847
26.05,25843857494.077877
26.1,18343535566.75877
26.15,12771476161.635427
26.2,13424405301.597347
