2theta,Intensity
0.0,3508985.7556207213
0.05,9124111.31587845
0.1,11025368.082991622
0.15,11683396.37656588
0.2,12249851.0355607
0.25,12858516.56536567
0.3,13513692.82269791
0.35,14220241.35627265
0.4,14983675.795666786
0.45,15834908.805879498
0.5,16776625.258384284
0.55,17953987.700923156
0.6,19371885.352082472
0.65,20878714.511204287
0.7,22783329.618283182
0.75,24862548.79821846
0.8,27344897.210736044
0.85,29851948.504961323
0.9,32710662.59437187
0.95,35667689.6677017
1.0,38984319.94337224
1.05,42504400.67235465
1.1,46504124.241164744
1.15,50961860.77682824
1.2,56118298.981224954
1.25,61617818.19168174
1.3,67805012.9871073
1.35,74804331.35427107
1.4,82881639.75546394
1.45,92207516.96865526
1.5,103218566.33902183
1.55,116362922.12513405
1.6,132335213.36454317
1.65,152021180.97263378
1.7,176836499.6751243
1.75,208576222.01221648
1.8,250030366.74063316
1.85,305819976.8454559
1.9,383622563.5086963
1.95,496969522.5458637
2.0,672337548.5512426
2.05,983521737.4826181
2.1,1764846458.4026084
2.15,4348440165.102809
2.2,11175903849.73675
2.25,20789368435.808926
2.3,23958988069.06086
2.35,17482737532.700935
2.4,9998072548.894728
2.45,6309036995.623238
2.5,5147228622.855717
2.55,4905858771.961459
2.6,4972716948.232175
2.65,5227115977.692489
2.7,5690670534.108338
2.75,6452502838.105301
2.8,7478679488.066801
2.85,8590397972.57011
2.9,9783552492.341684
2.95,11068812006.768745
3.0,12217324879.896093
3.05,13142095197.779753
3.1,13759913561.645857
3.15,14226202955.531519
3.2,14535249998.205011
3.25,14944445206.904716
3.3,15572467284.01298
3.35,16450322313.385338
3.4,17441940000.167908
3.45,18253071392.80915
3.5,18726311974.495728
3.55,19248484343.20277
3.6,20061657073.849796
3.65,21262935606.01924
3.7,22899057291.609913
3.75,25053553680.638103
3.8,27867105353.599472
3.85,31530969470.154205
3.9,36243694248.029755
3.95,42165333541.45108
4.0,49344550356.99164
4.05,58262982184.08636
4.1,70020132588.75153
4.15,86097574971.87335
4.2,108639630084.29889
4.25,141445590265.15305
4.3,192026371518.69083
4.35,280767659456.72034
4.4,501475766699.2455
4.45,1235916048587.7756
4.5,3175341602289.2188
4.55,5864359364312.582
4.6,6494375000171.96
4.65,4722228785875.012
4.7,2742231926701.7686
4.75,1477871344792.3174
4.8,849689175560.8204
4.85,592611810628.6487
4.9,485559581960.5615
4.95,419089003010.5847
5.0,361524057665.8226
5.05,305028676016.7432
5.1,265980209569.0074
5.15,251259865302.5851
5.2,243811247452.2644
5.25,230274941152.55423
5.3,210072697718.25098
5.35,190816077904.03424
5.4,172194984780.63083
5.45,147491173795.32755
5.5,126118267024.34276
5.55,114591503498.44145
5.6,109920380917.56876
5.65,111648424000.79878
5.7,113628549112.15236
5.75,109311341830.50159
5.8,106177143532.58481
5.85,109976621914.17772
5.9,120519642363.82358
5.95,132553366419.46233
6.0,138618988408.48065
6.05,139986952470.26862
6.1,139553015689.1268
6.15,135848014083.83443
6.2,129078555084.3759
6.25,122564507981.04497
6.3,116751903653.80011
6.35,110654178185.38202
6.4,106191489799.96182
6.45,109796189326.9264
6.5,120113445399.40135
6.55,129990962383.22943
6.6,141330504749.95
6.65,154713644446.63586
6.7,166991360792.21106
6.75,175381081805.95743
6.8,178339694122.68155
6.85,180481870138.08817
6.9,180114308238.15625
6.95,170046888008.0143
7.0,154818659291.6476
7.05,144644161076.0484
7.1,134543593112.39638
7.15,122873369339.20467
7.2,115444642722.65967
7.25,109983457734.1239
7.3,100668884188.36386
7.35,89225189403.41501
7.4,80856480503.91647
7.45,74455424192.73842
7.5,66494583356.03371
7.55,60070895186.09292
7.6,58412329881.32852
7.65,58622785021.72146
7.7,60159185584.272354
7.75,66955384437.86707
7.8,86720074116.78209
7.85,128692306991.99692
7.9,174111702968.67828
7.95,181855121247.02936
8.0,160567887897.81674
8.05,133894413573.22476
8.1,108923858795.17554
8.15,87773486007.99747
8.2,74043000459.90608
8.25,67017157291.87633
8.3,62171296355.03892
8.35,58118293105.46794
8.4,56148245605.80926
8.45,55396744185.1087
8.5,54166075116.968506
8.55,52375098715.72971
8.6,50209453645.31673
8.65,47957538067.20859
8.7,45918192720.12331
8.75,44314796172.17846
8.8,42937317005.7152
8.85,41666228190.60757
8.9,41213140208.48008
8.95,42167014413.54126
9.0,48153609234.16025
9.05,67225575936.08484
9.1,98176806381.72617
9.15,118674348803.19229
9.2,116288188207.32294
9.25,103151248750.86592
9.3,90547322438.6831
9.35,80391654376.95001
9.4,73624235072.72723
9.45,70493845104.52986
9.5,69812700675.10493
9.55,71936989128.88618
9.6,75524030351.28108
9.65,78185641179.04839
9.7,78071375369.60796
9.75,76690388418.4106
9.8,75609038601.08589
9.85,74578035680.47707
9.9,72989667884.20145
9.95,71547930847.7755
10.0,71176179573.93315
10.05,71895019692.1454
10.1,72041161647.9441
10.15,71243354794.00502
10.2,70587538227.4666
10.25,69672907959.28328
10.3,68611169294.67117
10.35,69674260511.36763
10.4,74199553265.14554
10.45,79754286192.7373
10.5,83695785722.57573
10.55,85405687147.24
10.6,85104691463.47765
10.65,84073508862.33107
10.7,82959597217.92017
10.75,82806325320.40587
10.8,82561240123.15128
10.85,79982159557.39124
10.9,75075356098.6253
10.95,70696436272.274
11.0,69756089735.28482
11.05,69577151916.12234
11.1,67047739130.56805
11.15,63246572646.93247
11.2,59065971349.8643
11.25,55104761991.326164
11.3,51886949608.64742
11.35,49020592051.91418
11.4,46462159884.16445
11.45,43543506583.393684
11.5,41406823602.027016
11.55,40204469526.20584
11.6,39218051894.76991
11.65,38724171599.7068
11.7,37917702732.48094
11.75,36517095422.156746
11.8,35769674748.16374
11.85,35625143359.55489
11.9,35621870834.81789
11.95,37366677874.62834
12.0,42683584176.2492
12.05,50496709111.516205
12.1,55827511702.01429
12.15,55848529064.8579
12.2,53146253214.00267
12.25,50463728905.43912
12.3,47641225281.883255
12.35,44650753142.31507
12.4,42633962451.4529
12.45,41859916126.79962
12.5,41429754465.69931
12.55,41218945843.12327
12.6,41378978346.20271
12.65,41838307446.57084
12.7,42378656763.229965
12.75,42573854049.67211
12.8,42496371972.65512
12.85,42312838537.6499
12.9,41654911563.90886
12.95,40608211037.70356
13.0,39853704037.76763
13.05,39551908906.40965
13.1,39258509236.81989
13.15,39126515446.42512
13.2,38996862882.53107
13.25,38675867774.45052
13.3,38693419135.609634
13.35,39243356351.17602
13.4,39542836914.07103
13.45,39606507446.06682
13.5,40424105741.16199
13.55,41348810572.85282
13.6,41224208781.65904
13.65,40915974378.98217
13.7,41591525927.775
13.75,42895906934.33977
13.8,44408507536.684555
13.85,45984627756.48159
13.9,46769625980.557785
13.95,46201457238.78162
14.0,44950868533.62218
14.05,43623285110.344444
14.1,42576421125.99473
14.15,41873338765.61717
14.2,41400666833.21304
14.25,40933097968.08211
14.3,40043658985.66843
14.35,38650690279.43486
14.4,37564650975.0402
14.45,37097725749.18879
14.5,37003723175.55027
14.55,37543800423.58314
14.6,38672352730.06067
14.65,39889111318.95853
14.7,40504404153.86115
14.75,40007990724.158165
14.8,38855093040.772644
14.85,37690199691.18568
14.9,37536093861.18087
14.95,37701638633.943924
15.0,37111218967.93154
15.05,36029141521.7737
15.1,35008409240.991844
15.15,34091745075.08325
15.2,33188265214.762543
15.25,32728645580.47212
15.3,32379297824.816372
15.35,31761684724.32198
15.4,31072165026.791073
15.45,29930259904.882977
15.5,28560947829.67845
15.55,27398165385.156223
15.6,26812603136.91446
15.65,26808703225.881348
15.7,28428187277.189796
15.75,32572480249.405132
15.8,38449344146.85861
15.85,42137670782.43935
15.9,41780630096.300674
15.95,39221269779.91747
16.0,36864055240.88254
16.05,35171350816.28832
16.1,33929779480.205917
16.15,32986147333.551586
16.2,32039693806.834118
16.25,31204777585.814804
16.3,30581152990.905716
16.35,30712977256.80237
16.4,31418694328.215965
16.45,32260939790.88301
16.5,32744983070.5582
16.55,32602855302.553326
16.6,32032767744.57056
16.65,31661984711.915188
16.7,31652835356.701473
16.75,32002855682.463444
16.8,32448603459.96734
16.85,32675656835.460304
16.9,32986267090.733643
16.95,33182698735.31887
17.0,32952890171.51383
17.05,32803638872.801563
17.1,33137372885.889668
17.15,33525718404.345833
17.2,33078358788.10931
17.25,32002442196.597984
17.3,30848148799.517982
17.35,30100998292.862373
17.4,29560223013.523693
17.45,29170438533.491966
17.5,29332353074.699535
17.55,29794534215.970123
17.6,30301007441.814133
17.65,30710228198.091442
17.7,30734742263.310818
17.75,30432185250.99132
17.8,30135238011.850357
17.85,29895069656.322987
17.9,29463180204.632694
17.95,29055989320.53781
18.0,29025717111.687447
18.05,29493427307.38706
18.1,30254092343.975624
18.15,31014385298.01958
18.2,31141919726.301258
18.25,30666328150.88436
18.3,30327424965.031704
18.35,30160643525.665062
18.4,30021263152.846897
18.45,30082759647.285656
18.5,30224946428.258774
18.55,29956000051.84079
18.6,29348973469.002518
18.65,29059957439.870174
18.7,29003062153.954468
18.75,28937350331.061157
18.8,29029579824.195065
18.85,29091131945.690514
18.9,29113901286.060368
18.95,29057196716.63614
19.0,28808227103.433804
19.05,28687703272.03081
19.1,28732826473.327915
19.15,28703793903.022236
19.2,28441270103.48205
19.25,28236711690.26443
19.3,28514994121.929863
19.35,28917217295.67287
19.4,29278200626.60784
19.45,29667107892.9787
19.5,29668853492.27092
19.55,29295971353.93674
19.6,28819014578.20578
19.65,28407037770.082348
19.7,28255267959.59463
19.75,28602608906.652927
19.8,29468113824.95432
19.85,31183248254.883823
19.9,33670051660.745834
19.95,35941827408.16486
20.0,36679543052.18968
20.05,35726000630.536835
20.1,33996000957.746964
20.15,32620339500.154125
20.2,32061015805.980682
20.25,32527612132.92205
20.3,32914322652.631027
20.35,32465912260.741806
20.4,31808706535.46136
20.45,31308629431.858845
20.5,31120300625.78622
20.55,31093414989.29243
20.6,31037416201.353584
20.65,30959233717.727932
20.7,30899125138.094482
20.75,31015755523.32812
20.8,31497036122.761257
20.85,32144323539.972366
20.9,33098319385.672626
20.95,34221613356.28425
21.0,34822254877.48155
21.05,34674767269.83156
21.1,34579582444.36087
21.15,35038720150.90366
21.2,35540916813.80003
21.25,35912308221.43838
21.3,36017371616.01838
21.35,35404367104.61456
21.4,34746884624.43791
21.45,34900744864.64261
21.5,35312586541.484245
21.55,35301162040.6218
21.6,35298766245.31011
21.65,35740993836.195305
21.7,36077881786.84419
21.75,36280859160.70703
21.8,36554659555.91063
21.85,36637605202.40631
21.9,36252076305.66663
21.95,35868252470.86439
22.0,35727500968.69014
22.05,36012748047.68143
22.1,36639715761.34149
22.15,37415242123.69133
22.2,37923520082.46968
22.25,37800027888.1302
22.3,37400675543.19888
22.35,37279186104.96825
22.4,37638041207.20304
22.45,38729856637.36078
22.5,40159094789.56627
22.55,40890719841.82003
22.6,40962098957.21464
22.65,40889066913.41626
22.7,40556559352.656624
22.75,40160682266.72247
22.8,40455599735.22997
22.85,41832346541.58445
22.9,43553940284.08472
22.95,44351225562.518394
23.0,44203549901.87775
23.05,43779172783.13573
23.1,43159047425.263145
23.15,42299069111.23026
23.2,41329128468.85361
23.25,40671339174.18046
23.3,40274878133.8765
23.35,39642353119.611496
23.4,38703714540.12044
23.45,37717440599.720825
23.5,37046373741.22897
23.55,36476976330.25722
23.6,35880847220.62595
23.65,35259892330.68575
23.7,34646486676.27796
23.75,34272042598.683224
23.8,34031867755.453102
23.85,33549313475.352123
23.9,32686736443.88273
23.95,31705694761.852016
24.0,31041145088.04837
24.05,30600700294.628494
24.1,30256018366.89264
24.15,30100133852.83665
24.2,30008387310.813942
24.25,29595417403.95633
24.3,28831580360.4967
24.35,28000132686.24776
24.4,27187970201.24654
24.45,26459457718.46974
24.5,25827758089.894108
24.55,25232378701.07963
24.6,24590790740.222893
24.65,24007431486.12305
24.7,23674994534.81592
24.75,23542863775.964767
24.8,23348708749.814358
24.85,23099657686.711796
24.9,23007639462.941437
24.95,23054383992.06778
25.0,23121532446.25114
25.05,23085489446.30827
25.1,22975936738.671436
25.15,22861453742.33862
25.2,22763533930.17902
25.25,22609143116.194782
25.3,22345434734.012096
25.35,21951083012.05251
25.4,21540925801.635895
25.45,21299696660.24781
25.5,21228943067.285873
25.55,21028491374.405186
25.6,20558610664.39552
25.65,20046551854.880318
25.7,19535817389.08811
25.75,18960212864.96122
25.8,18470171542.038548
25.85,18038576005.25848
25.9,17722538208.452282
25.95,17550968917.225388
26.0,17408145624.440323
26.05,17103813404.33346
26.1,16699981833.762037
26.15,16405922161.503445
26.2,16204853264.372156
26.25,16033916891.84839
26.3,15863198779.3622
26.35,15713424962.098335
26.4,15726747727.26932
26.45,16076028868.570414
26.5,16680120399.313667
26.55,17484064611.99857
26.6,18211089075.343296
26.65,18881668864.24309
26.7,19807033198.914913
26.75,20412203737.79636
26.8,20805587648.22548
26.85,21735552913.592354
26.9,23603330860.542736
26.95,26139168974.380165
27.0,28734637042.897984
27.05,31387950876.20058
27.1,34761953289.531044
27.15,38392448896.50222
27.2,41614139019.34394
27.25,44852495730.123566
27.3,47997770866.92689
27.35,51179161864.26995
