2theta,Intensity
0.0,4543644.130185251
0.05,4765477.039392415
0.1,4993206.777092985
0.15,5237653.791440304
0.2,5500494.718717652
0.25,5783621.7067753775
0.3,6089176.518949896
0.35,6419591.101837291
0.4,6777636.055317767
0.45,7166478.813431793
0.5,7589753.823837595
0.55,8051647.637931414
0.6,8576766.130206615
0.65,9342800.940034546
0.7,10617176.447017625
0.75,12041190.802910998
0.8,13682397.221679963
0.85,15880535.892059054
0.9,18429837.529177852
0.95,20710943.747628223
1.0,23057164.653079797
1.05,25344554.75870137
1.1,27667453.193871476
1.15,30169182.03245912
1.2,32740344.91610801
1.25,35633947.41413423
1.3,38957790.52835873
1.35,42810747.63331492
1.4,47317793.356916584
1.45,52644274.22351506
1.5,59012872.17605381
1.55,66729552.069844425
1.6,76269082.27683441
1.65,88349841.47868611
1.7,103598527.16366664
1.75,123565736.15488581
1.8,150551772.20419946
1.85,188395183.7337606
1.9,243995637.71775252
1.95,331105537.0841742
2.0,490111367.3370985
2.05,922615006.2455282
2.1,2439514970.6778035
2.15,6260953830.224226
2.2,11316892767.235468
2.25,11972653370.074043
2.3,7630404253.899946
2.35,4950212362.142121
2.4,4173958394.752273
2.45,4145821154.5052214
2.5,4419978483.065649
2.55,4818670661.944349
2.6,5336179611.020782
2.65,5973455864.205998
2.7,6785058354.374007
2.75,7740899412.12035
2.8,8828120975.108458
2.85,10368623589.193432
2.9,12549624056.609083
2.95,15095985928.655361
3.0,17457624787.97222
3.05,19766870641.225983
3.1,21922331055.528767
3.15,23008465676.74761
3.2,22883269582.841293
3.25,22418340711.98075
3.3,22083172076.79031
3.35,22032284120.090668
3.4,22301308105.547504
3.45,23003958893.04353
3.5,24370393696.107357
3.55,26386441726.782173
3.6,28934162308.036823
3.65,31988912724.687984
3.7,35628022556.44328
3.75,40012150704.261765
3.8,45399748409.14028
3.85,52060432483.645134
3.9,60089540189.72525
3.95,69931783285.359
4.0,82734352749.11841
4.05,99961838556.62238
4.1,123765005469.54881
4.15,157956408040.93295
4.2,209732589144.7321
4.25,296540493044.27057
4.3,494905671632.1567
4.35,1163456235995.5735
4.4,3121368420474.258
4.45,6202618287806.001
4.5,6873028997126.464
4.55,4188601977053.166
4.6,1860344995790.6353
4.65,1102695364686.439
4.7,1262391859010.9805
4.75,1721161322405.7517
4.8,2189808881248.3916
4.85,2649010710899.2466
4.9,3117910278681.331
4.95,3475524441833.7715
5.0,3484076304287.185
5.05,3127928882310.0664
5.1,2648435320410.477
5.15,2194107550219.772
5.2,1784917105169.7083
5.25,1407127074082.3047
5.3,1049541675815.3207
5.35,700908524594.968
5.4,422005600279.3199
5.45,246564305254.44907
5.5,153191364687.86133
5.55,110253478811.1588
5.6,91088523462.18784
5.65,84326694920.73186
5.7,88803556851.83932
5.75,105356015885.1849
5.8,133174203358.43811
5.85,167803185842.3804
5.9,201496732405.3682
5.95,226833047175.0649
6.0,245717552338.17297
6.05,260107350951.7122
6.1,274488168542.17798
6.15,294278315440.4783
6.2,313496153938.9136
6.25,320771564848.80615
6.3,307613772454.458
6.35,273850668467.94257
6.4,234220721019.80032
6.45,197716592665.23453
6.5,164677639979.8573
6.55,138671146481.27887
6.6,119713137607.84451
6.65,105406690278.50111
6.7,94202105511.1307
6.75,81822153395.10326
6.8,63896431762.06951
6.85,43484070686.805084
6.9,28808615187.88916
6.95,21458922496.335648
7.0,18297392586.400707
7.05,16749446680.338509
7.1,15698087965.668022
7.15,14939676219.936796
7.2,14692176431.599882
7.25,15243520603.714611
7.3,16748116987.586933
7.35,18808894190.142273
7.4,20926763720.46793
7.45,23452382432.292725
7.5,27290876677.12066
7.55,33139139618.444466
7.6,42480856518.19352
7.65,60056756748.639565
7.7,96047813272.60568
7.75,154125827323.96655
7.8,218827646418.76895
7.85,278352363079.86035
7.9,324727229833.2716
7.95,361317949523.5589
8.0,399327234854.2756
8.05,415771108372.6909
8.1,390171101260.8552
8.15,340464934739.23816
8.2,296871794910.48834
8.25,271686502478.4473
8.3,247475978380.9187
8.35,213975443015.09274
8.4,179302134706.82544
8.45,154241655214.16083
8.5,141276826559.16196
8.55,132540817132.08966
8.6,123519617147.18225
8.65,114844541521.03833
8.7,111661154087.86649
8.75,116144360410.71506
8.8,129619605250.84512
8.85,152095453923.19876
8.9,179333934696.14478
8.95,200503369840.1782
9.0,203931624054.03702
9.05,198861447888.13306
9.1,196333820501.03275
9.15,196478110364.52707
9.2,197956204725.36096
9.25,194965946853.34534
9.3,184781317471.8292
9.35,173918967516.81186
9.4,166804751657.98752
9.45,159137280210.19992
9.5,147028143878.05762
9.55,134835629217.7851
9.6,124737388869.31921
9.65,117552955154.61592
