2theta,Intensity
2.013030280,18879.0
2.039290845,18239.0
2.065551410,17566.0
2.091811975,17231.0
2.118072540,16835.0
2.144333105,16090.0
2.170593670,15603.0
2.196854235,15086.0
2.223114800,14767.0
2.249375365,14179.0
2.275635930,13855.0
2.301896495,13671.0
2.328157060,13472.0
2.354417625,12747.0
2.380678190,12524.0
2.406938755,12422.0
2.433199320,12136.0
2.459459885,11548.0
2.485720450,11508.0
2.511981015,11386.0
2.538241580,11107.0
2.564502145,10918.0
2.590762710,10812.0
2.617023275,10428.0
2.643283840,10326.0
2.669544405,10272.0
2.695804970,9917.0
2.722065535,9803.0
2.748326100,9761.0
2.774586665,9335.0
2.800847230,9262.0
2.827107795,9180.0
2.853368360,9014.0
2.879628925,8971.0
2.905889490,8744.0
2.932150055,8683.0
2.958410620,8641.0
2.984671185,8477.0
3.010931750,8389.0
3.037192315,8234.0
3.063452880,8215.0
3.089713445,7989.0
3.115974010,7908.0
3.142234575,7898.0
3.168495140,7799.0
3.194755705,7632.0
3.221016271,7576.0
3.247276836,7660.0
3.273537401,7503.0
3.299797966,7368.0
3.326058531,7313.0
3.352319096,7288.0
3.378579661,7140.0
3.404840226,7388.0
3.431100791,7235.0
3.457361356,7230.0
3.483621921,7147.0
3.509882486,6955.0
3.536143051,6955.0
3.562403616,7070.0
3.588664181,6959.0
3.614924746,6974.0
3.641185311,6896.0
3.667445876,7149.0
3.693706441,6894.0
3.719967006,6849.0
3.746227571,6970.0
3.772488136,6950.0
3.798748701,7085.0
3.825009266,6955.0
3.851269831,6915.0
3.877530396,7196.0
3.903790961,7086.0
3.930051526,7232.0
3.956312091,7079.0
3.982572656,7267.0
4.008833221,7309.0
4.035093786,7570.0
4.061354351,7510.0
4.087614916,7457.0
4.113875481,7611.0
4.140136046,7652.0
4.166396611,7907.0
4.192657176,7996.0
4.218917741,8405.0
4.245178306,8424.0
4.271438871,8619.0
4.297699436,8674.0
4.323960001,9133.0
4.350220566,9280.0
4.376481131,9727.0
4.402741696,9846.0
4.429002261,10407.0
4.455262826,10595.0
4.481523391,11074.0
4.507783956,11422.0
4.534044521,12099.0
4.560305086,12388.0
4.586565651,12597.0
4.612826216,13578.0
4.639086781,14312.0
4.665347346,14999.0
4.691607911,15612.0
4.717868476,16443.0
4.744129041,17151.0
4.770389606,17786.0
4.796650171,18888.0
4.822910736,19816.0
4.849171301,20495.0
4.875431866,21398.0
4.901692431,22014.0
4.927952996,22346.0
4.954213561,22442.0
4.980474126,22497.0
5.006734691,22402.0
5.032995256,22452.0
5.059255821,21578.0
5.085516386,20953.0
5.111776951,19948.0
5.138037516,19280.0
5.164298081,18577.0
5.190558646,17415.0
5.216819211,16469.0
5.243079776,15737.0
5.269340341,14973.0
5.295600906,14291.0
5.321861471,13603.0
5.348122036,12960.0
5.374382601,12407.0
5.400643166,11969.0
5.426903731,11502.0
5.453164296,11000.0
5.479424861,10600.0
5.505685426,10262.0
5.531945991,9858.0
5.558206556,9613.0
5.584467121,9336.0
5.610727686,9153.0
5.636988252,8882.0
5.663248817,8550.0
5.689509382,8252.0
5.715769947,8298.0
5.742030512,7779.0
5.768291077,7867.0
5.794551642,7829.0
5.820812207,7442.0
5.847072772,7409.0
5.873333337,7145.0
5.899593902,7108.0
5.925854467,6855.0
5.952115032,6889.0
5.978375597,6648.0
6.004636162,6547.0
6.030896727,6484.0
6.057157292,6456.0
6.083417857,6283.0
6.109678422,6299.0
6.135938987,6217.0
6.162199552,6225.0
6.188460117,6187.0
6.214720682,5913.0
6.240981247,5827.0
6.267241812,5751.0
6.293502377,5838.0
6.319762942,5859.0
6.346023507,5578.0
6.372284072,5652.0
6.398544637,5553.0
6.424805202,5558.0
6.451065767,5511.0
6.477326332,5475.0
6.503586897,5571.0
6.529847462,5497.0
6.556108027,5509.0
6.582368592,5386.0
6.608629157,5393.0
6.634889722,5265.0
6.661150287,5372.0
6.687410852,5394.0
6.713671417,5186.0
6.739931982,5245.0
6.766192547,5177.0
